COSMIN ID,COSMIN URL,PROQOLID ID,PROQOLID URL 
1,https://database.cosmin.nl/catalog/instrument/1,,
2,https://database.cosmin.nl/catalog/instrument/2,,
3,https://database.cosmin.nl/catalog/instrument/3,,
4,https://database.cosmin.nl/catalog/instrument/4,,
5,https://database.cosmin.nl/catalog/instrument/5,245088,https://eprovide.mapi-trust.org/instruments/clock-drawing-test
6,https://database.cosmin.nl/catalog/instrument/6,,
7,https://database.cosmin.nl/catalog/instrument/7,429302,https://eprovide.mapi-trust.org/instruments/duplicate-confusion-assessment-method
8,https://database.cosmin.nl/catalog/instrument/8,,
9,https://database.cosmin.nl/catalog/instrument/9,,
10,https://database.cosmin.nl/catalog/instrument/10,,
11,https://database.cosmin.nl/catalog/instrument/11,,
12,https://database.cosmin.nl/catalog/instrument/12,,
13,https://database.cosmin.nl/catalog/instrument/13,,
14,https://database.cosmin.nl/catalog/instrument/14,,
15,https://database.cosmin.nl/catalog/instrument/15,,
16,https://database.cosmin.nl/catalog/instrument/16,,
17,https://database.cosmin.nl/catalog/instrument/17,,
18,https://database.cosmin.nl/catalog/instrument/18,,
19,https://database.cosmin.nl/catalog/instrument/19,,
20,https://database.cosmin.nl/catalog/instrument/20,,
21,https://database.cosmin.nl/catalog/instrument/21,,
22,https://database.cosmin.nl/catalog/instrument/22,429532,https://eprovide.mapi-trust.org/instruments/nursing-delirium-screening-scale
23,https://database.cosmin.nl/catalog/instrument/23,,
24,https://database.cosmin.nl/catalog/instrument/24,,
25,https://database.cosmin.nl/catalog/instrument/25,,
26,https://database.cosmin.nl/catalog/instrument/26,260289,https://eprovide.mapi-trust.org/instruments/ankylosing-spondylitis-arthritis-impact-measurement-scales-2
27,https://database.cosmin.nl/catalog/instrument/27,,
29,https://database.cosmin.nl/catalog/instrument/29,429209,https://eprovide.mapi-trust.org/instruments/harris-hip-score
30,https://database.cosmin.nl/catalog/instrument/30,25515,https://eprovide.mapi-trust.org/instruments/nottingham-health-profile
31,https://database.cosmin.nl/catalog/instrument/31,25682,https://eprovide.mapi-trust.org/instruments/oxford-hip-score
32,https://database.cosmin.nl/catalog/instrument/32,387091,https://eprovide.mapi-trust.org/instruments/veterans-rand-36-item-health-survey-c
34,https://database.cosmin.nl/catalog/instrument/34,,
35,https://database.cosmin.nl/catalog/instrument/35,,
36,https://database.cosmin.nl/catalog/instrument/36,,
37,https://database.cosmin.nl/catalog/instrument/37,,
38,https://database.cosmin.nl/catalog/instrument/38,,
39,https://database.cosmin.nl/catalog/instrument/39,405666,https://eprovide.mapi-trust.org/instruments/pregnancy-anxiety-scale
40,https://database.cosmin.nl/catalog/instrument/40,,
41,https://database.cosmin.nl/catalog/instrument/41,,
42,https://database.cosmin.nl/catalog/instrument/42,,
43,https://database.cosmin.nl/catalog/instrument/43,,
44,https://database.cosmin.nl/catalog/instrument/44,,
45,https://database.cosmin.nl/catalog/instrument/45,,
46,https://database.cosmin.nl/catalog/instrument/46,,
47,https://database.cosmin.nl/catalog/instrument/47,,
48,https://database.cosmin.nl/catalog/instrument/48,392281,https://eprovide.mapi-trust.org/instruments/pregnancy-related-anxiety-questionnaire
49,https://database.cosmin.nl/catalog/instrument/49,392307,https://eprovide.mapi-trust.org/instruments/pregnancy-related-anxiety-questionnaire-revised
50,https://database.cosmin.nl/catalog/instrument/50,,
51,https://database.cosmin.nl/catalog/instrument/51,,
52,https://database.cosmin.nl/catalog/instrument/52,,
53,https://database.cosmin.nl/catalog/instrument/53,,
54,https://database.cosmin.nl/catalog/instrument/54,419267,https://eprovide.mapi-trust.org/instruments/pregnancy-specific-anxiety-scale
55,https://database.cosmin.nl/catalog/instrument/55,389825,https://eprovide.mapi-trust.org/instruments/prenatal-social-environment-inventory
56,https://database.cosmin.nl/catalog/instrument/56,,
57,https://database.cosmin.nl/catalog/instrument/57,,
59,https://database.cosmin.nl/catalog/instrument/59,,
60,https://database.cosmin.nl/catalog/instrument/60,,
61,https://database.cosmin.nl/catalog/instrument/61,,
62,https://database.cosmin.nl/catalog/instrument/62,,
63,https://database.cosmin.nl/catalog/instrument/63,,
64,https://database.cosmin.nl/catalog/instrument/64,,
66,https://database.cosmin.nl/catalog/instrument/66,,
67,https://database.cosmin.nl/catalog/instrument/67,,
68,https://database.cosmin.nl/catalog/instrument/68,389437,https://eprovide.mapi-trust.org/instruments/compassion-scale
70,https://database.cosmin.nl/catalog/instrument/70,,
71,https://database.cosmin.nl/catalog/instrument/71,432840,https://eprovide.mapi-trust.org/instruments/post-concussion-symptom-scale
72,https://database.cosmin.nl/catalog/instrument/72,,
73,https://database.cosmin.nl/catalog/instrument/73,,
76,https://database.cosmin.nl/catalog/instrument/76,25179,https://eprovide.mapi-trust.org/instruments/living-with-asthma-questionnaire
77,https://database.cosmin.nl/catalog/instrument/77,334490,https://eprovide.mapi-trust.org/instruments/quality-of-life-for-respiratory-illness-questionnaire
78,https://database.cosmin.nl/catalog/instrument/78,,
